I omitted some irrelevant ones,,,,,,,,,
,,,,,,,,,
Boss,Generic,Wylder,Guardian,Ironeye,Duchess,Raider,Revenant,Recluse,Executor
Night of the Fathom,Grand Burning Scene,Slate Whetstone,Stone Stake,Grand Burning Scene,Golden Dew,Torn Braided Cord,Small Makeup Brush,Vestige of Night,Golden Sprout
Increased Maximum HP,Increased rune acquisition for self and allies,[Wylder] Follow-up attacks possible when using Character Skill (greatsword only),[Guardian] Increased duration for Character skill,[Ironeye] Art Charge Activation adds poison,[Duchess] Improved Character Skill Attack Power,[Raider] Damage taken while using Character skill improves attack power and stamina,[Revenant] Power up while fighting alongside family,[Recluse] Collecting affinity residue activates Terra Magica,[Executor] Roaring restores HP while Art is active
Flask Also heals Allies,Stonesword Key in possession at start of expedition,Physical Attack Up,Character skill Cooldown Reduction +3,Attack power up when facing poison-afflicted enemy,Boosts Attack Power of Added Affinity Attacks,Strength +3,Increased rune acquisition for self and allies,Magic Attack Power Up +2,HP Recovery From Successful Guarding
Items confer effect to all nearby allies,Rune discount for shop purchases while on expedition,,,Ultimate Art Guage +3,,,,,Slowly restore HP for self and nearby allies when HP is low
,,,,,,,,,
Night of the Demon,Grand Burning Scene,Silver Tear,Third Volume,Cracked Sealing Wax,Crown Medal,Black Claw Necklace,Old Portrait,Bone-Like Stone,Grand Burning Scene
Huge rune discount for shop purchases while on expedition,Slowly restore HP for self and nearby allies when HP is low,[Wylder] Art guage greatly filled when ability is activated,[Guardian] Creates whirlwind when charging halberd attacks,[Ironeye] Extends duration of weak point,[Duchess] Dagger chain attack reprises event upon nearby enemies,Defeating enemies near Totem Stela restores HP,[Revenant] Expend own HP to fully heal nearby allies when activating Art,[Recluse] Suffer blood loss and increase attack power upon Art activation,[Executor] Roaring restores HP while Art is active
"Gesture ""Crossed Legs"" Builds Up Madness",Improved Damage Negation when at low HP,Arcane +3,HP Restoration upon Halberd Attacks,Critical hits Earn Runes,Improved Dagger Attack Power,Defeating enemies fills more of the Art guage,[Revenant] Trigger ghostflame explosion during Ultimate Art activation,[Recluse] Activating Ultimate Art raises Max HP,Dexterity +2
Madness Continually Recovers FP,Vigor +3,Ultimate Art Guage +3,,,,Poise +3,Defeating enemies fills more of the Art guage,Intelligence +3,Arcane +2
,,,,,,,,,
Dark Night of the Baron,Grand Burning Scene,The Wylder's Earring,Grand Burning Stone,Edge of Order,Blessed Iron Coin,Grand Luminous Scene,Grand Drizzly Scene,,Blessed Flowers
